reviews,label
Syuka apliksi nya Blanjaa engga perlu panas2 Duduk manis tekan2 uda nunggu sampai pesanna,__label__3
"aplikasi belanja online yang cukup bagus dan sudah terbukti jika kalian belanja disini,,sebab kalian akan menemukan banyak fitur fitur yang engkap dna menarik termasuk banyak games yang banyak dan super seru yang kalian bisa dapatkan vocher dan koin,,ayo kalian bisa coba aplikasi inidan masukan odjemputan (D-I-M-A-S-2-K-M) sebab kalian akan dpt 50% cashback jika memasukannya di kode voucher untuk pembeian pertamammu. . terimakasih. ",__label__3
Aplikasi belanja yang bagus,__label__5
"Tiba"" akun keluar sendiri, g mana sih Udh aku masukin malah shopy pay nya d suruh masukin no hp lagi 🤔",__label__1
"Sejauh ini keamanan sangat memuaskan, tapi saya pernah sangat kecewa ketika tanpa sengaja akun shopy saya keluar, ketika mau masuk lagi tidak bisa sedangkan diakun lama saya mempunyai barang dan faporit, sekarang saya pake akun baru, terpaksa semua dimulai dari awal lagi, tapi ini udah dua x ganti akun tidak pernah dapat hadiah bagi pengguna baru, selalu habis",__label__3
Trimakasih buat apk shopi.  Sangat membantu Trimakasih buat semua nya semoga makin jaya terus sukses terus. 🙏🙏🙏,__label__5
Saya puas belanja di shuopi,__label__5
"Pemilihan voucher gratis ongkir padahal bisa di klik sebelum checkout tapi. . .  Boom!! Voucher yg sbelumnya udah di ceklis sbelum checkout ilang dengan alasan Metode pembayaran, jd kurang maksimal aja si buat yg punya saldo pas pas-an.  😟",__label__3
sgt kcewa dgn shopee skrg.  tmpt belanja online sekelas shopee jg ad penjual atau toko yg menipu.  nm toko ny @tianmn. id .  barang nya tidak sampai tapi tiba2 pelacakan pesanan sudah d terima.  ketika toko sudah di laporkan tpi msh tidak ada penanganan serius.  krna pesanan tdak smpai tentunya hrus buat pnilaian pesanan.  stelah dinilai dgn bintang 1 penilaian sya itu tidak bisa ditampilkn.  jdi sya mohon kepada pihak shopee utk lebih serius menindaklanjuti atas penipuan dari toko @tianmn. id,__label__3
"Apapun yang kita mau selalu ada shopee, , shopee ga   partner shopee pada jujur ga ngecewain pelangg. ",__label__5
shopee kagak jelas banget topup shopeepay udah 2 hari gak masuk masuk,__label__1
"Terimakasih bngt untung aplikasi shopee ini🤭, makin sukses deh pokoknya. ",__label__5
mantap apa aja ada di shopee,__label__5
   tipu masak ajah bayar,__label__1
Aplikasi gak jelas.  Akun gw di blokir tiba2.  Beli juga bayar gak ngutang. ,__label__5
"Pokoknya menyenangkan deh🤩😍🤩, &. tetep ""SAMPOERNA. !!!""👌👌👌 Terimakasi shopee. 🙏🙏🙏🙏🙏",__label__5
Tolong untuk Pyaleter ada opsi bayar lunas Pembelian Secara kredit,__label__1
  rugi langgan,__label__1
"Saya suka belanja di shopee,, dengan shopee dapat memudahkan dalam berbelanja online. .  Namun makin lama, sekarang susah banget klo mau check out.  Sampek berjam-jam,, Tombol check out ny susah. . .  Lemot banget.  Semoga kedepannya menjadi lebih baik. ",__label__3
"Ringankan kami yang dari kampung ingin membeli barang , gratis ongkir dong setiap hari, masak mahalan Ongkir ketimbang harga barang nya. . ",__label__3
  tolong jual kompeten tindak konfirmasi bayar cepat kirim barang lambat batal tuju barang kunjung kirim dichat direspon terang online,__label__3
KECEWA! akun saya udah memenuhi semua syarat utk mendapatkan shopee pay laternya tetapi tetap saja ngga ada shopee pay laternya. Malah kakak saya baru download apl ini langsung muncul shopee paylater nya ngga ngerti lagi saya! Udah muak!!,__label__1
"Puas sih cuman ada barang yg dari China,  nyampe nya rusak. gmn tuh. ",__label__5
"Dijanjiin 3 hari kerja, eh dana saya tidak dibalikin, bobrok amat tim terkait nya",__label__1
min kenapa barang yang saya beli belum saya terima tapi udah ada pemberitahuan kalau barang tersebut sudah saya terima dan harus d konfirm. . kenapa bisa begitu sedang kan barang yang saya pesen belom saya terima. . tolong penjelasannya!!,__label__3
  aplikasi mantap belanja rumah lengkap serba,__label__5
Transfer gua berhasil mana balikin woy,__label__1
"Iya kak ya.  Knapa ya semakin kesini shoppe kok semakin lemot.  Padahal baru aja aku udah update.  Aku buka aplikasinya,, kok ttep lemot ya.  Gak bisa kebuka semua barang yg dijual disini.  Mau belanja gimana kalau gbsa kebuka??? Tolong diperbaiki donk biar lebih baik lagi.  Sayang kan. . . soalnya pengguna shoppe kan sudah banyak, jngan sampai mereka kecewa. ",__label__3
"Udh dua kali pihak jne ga update sama sekali tentang keberadaan paket.  Sekali nya update tuh kacau bgt.  Di informasi pelacakan sih bener paket nya udah di penerima, tpi kota nya salah.  Saya di kota A, di informasi pelacakan nya di kota B.  Acak²an.  Jadi bingung.  Abis itu update nya lelet bgt.  Barang udh di terima, baru di update tuh yg pelacakan yg kemaren².  Aneh bgt. ",__label__3
"bagus, belanja aman. .  cuma sekarang ongkir jadi lebih mahal bisa sampe di atas 40 ribuan. .  di toko sebelah ongkir cuma 14 ribuan paling mahal. . shoope payblater juga kok menhilang ya 🤣🤣",__label__3
Saya sangat menyukai aplikasi shoppe Karena barang yang dijual sesuai dengan harga dan juga banyak gratis ongkir,__label__5
"Masukan buat shopee sekalian kritik.  Tolong di aplikasi, customer bisa menilai ekspedisinya juga.  Karena sangat di sayangkan barang yg kita beli bagus tapi ekspedisinya lama.  Yg di nilai jelek oleh customer si penjual bukan ekspedisinya.  Padahal barang yg di jual tidak ada kekurangan atau sesuai dengan yg di gambar hanya karena lama pengiriman di kasi bintang 1.  Terima Kasih",__label__3
  aplikasi bagus belanja rumah gampang,__label__5
  sayang  paylater,__label__3
Paket gratis ongkir ny bikin hemat,__label__5
Anying telat sapoe ge di teleponan.. Ti hari jatoh tempo ge dek di bayar.. Naha teu bisa mayar lewat livin mandiri... Hapus gera aplikasi na.. Teu guna,__label__1
"Suka nge lag, terus voucher gratis ongkir nya sekarang jarang ada, ada pun pasti harus pake metode shopeepay dan minimal pembayaran, walaupun akun baru juga tetep gitu, dahal dulu ga gitu, banyak voucher. ",__label__3
  hallo kak tolong bantu kak aplikasi  hapus lupa nomor id kembali akun  gimana,__label__3
"Susah utk pembayaran transfer nya, akhirnya batal belanja",__label__1
Aku suka shopee yg dulu.  Yg kalo 7. 7 ke 6. 6 ke bla bla itu selalu ditunggu2 karna banyak freong dan min.  Blanja 0 dan sub.  Ongkir 20k.  Sekrang mah shopee udah berubah.  Ga asyik ah udah ga gitu lagi huhu,__label__3
Kalo ada mode gelap lebih enak kayanya kalo di adain tak kasih bintang 7,__label__5
Sangat bagus.  apalagi klo bnyak promo bisa lebih murah belanja. ,__label__5
Aplikasi belanja online favoritku,__label__5
layanan lambat,__label__1
saya agak kecewa dangan shopee karena kemaren saya top up fre fire yang 1450diamond dan saya kira akan mendapatkan bundle ninja tetapi sampai sekarang saya belum mendapatkan bundel nya tolong segera di kirimkan karena saya top up dari 5juni dan sampai sekarang 16juni bundlenya belum terkirim mohon dibaca. ,__label__3
  kacau layan  order barang salah kirim aju pusat resolusi retur barang  gagal input resi langsung hubung bantu input dana kembali jual,__label__1
   lelet,__label__3
Super duper bagus banget super super super bagus banget banget nya ada 100,__label__5
jujur aplikasinya jelek jaringannya jelek kalau pkai kartu axis,__label__1
"Pengiriman cepat,  dan barangnya sesuai foto,  banyak diskon shopee,  banyak diskon ongkirnya",__label__5
Dear shoppe . . .  Dari dulu sampai sekarang kalo ada saldo di shoope. . .  Pasti aplikasi sering blank. . .  Tapi kalo saldo kosong. . .  Lancar saja. . .  Tolong di diperbaiki lagi aplikasinya,__label__3
Percuma ngak bisa checkout karna kebijakan padahal cuma kapas vape,__label__1
"Kalau brg penjual rusak,diganti oi",__label__1
UDAH DUA KALI YA DRIVER NYA GA BERTANGGUNG JAWAB SAMA PESANAN SHOPEE FOOD SAYA. LAMA LAMA GA REKOMEN,__label__1
"Pengiriman sudah oke tpi tp kadang Shopee sering lemot pengen belanja gambar belum muncul, kalo bisa pisahi Shopee game dan app belanja nya kayaknya itu yang bikin lemot terimakasih :""D",__label__3
"Saya pengguna shopee sudah lama,,,selalu tiba2 akun saya rusak dan mungkin dibobol orang,,,padahal tidak ada ganti pasword. . . ini gara2 ada sms hadiah,,setiap x saya dapat sms itu,,,akun jadi rusak,,,. Tanggung jawab shopee dimana,,,jangan hanya bisa jual,,,tanggung jawabmu buktikan",__label__3
Pengiriman lama || lama,__label__1
Terlalu banyak iklan,__label__1
Lemott bgt ga sie pdahall memori masi banyakk plus wifi kenceng,__label__1
  aplikasi shoopee mudah erti,__label__5
Kenapa akun saya tidak bisa di login ya? Padahal sudah bolak balik email nomer hp dan kode otp yang saya masukan sudah benar? Mohon bantuannya ya karena ada beberapa pengiriman yang belum selesai. ,__label__3
Banyak gratis ongkirnyq,__label__5
"Akun sy knapa tidak bisa mlakukan verivikasi ya,akun sy tiba² kluar tolong diperbaiki 🙏",__label__1
"Mesin pencarian di bagian ""favorit saya"" dibenerin dong, ngebug tuh",__label__1
Apk apaan ni ga bisa di bayar di tempat!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,__label__3
"Maaf kak aku kasih bintang 3 dulu,karena aku baru mau pake shope. kak shopee gratis ongkir sampai mana aja/keseluruh indonesia gratis ongkir. terima kasih tolong dijawabya kak. soalnya aku pernah belanja disuatu apk harga barang sama ongkirnya mahalan ongkir karena tempat tinggal aku yg jauh dari kota. ",__label__3
Saya batalin paket karna seler nya yang ga respon.. trus saya cod di toko lain datang dan sya ambil pket saya Saya ga pernah nolak paket dan ga pernah masalahin ongkir di shoppe wlaupun smpe 40 rbu Tapi karna mmbtlkn psnan yg seler nya ga respon malahan saya ga bisa cod lagi dan ongkir tambah mahal nympe 50 ribu Kapok mnding pindah ke toko sebelah,__label__1
  pokok the best,__label__5
"Sistem jasa pengiriman ribet sekarang, enakan yang dulu kita bisa pilih sebelum belanja, ini kenapa ditentukan & ga bisa di pindahkan? Tolong jasa pengiriman seperti dulu saja",__label__3
Gimana cara login lagi sya pakai nomor sya sma password nya udh btul udh verifikasi tpi minta lagi verifikasi lewat email dan email sya itu udh gk ada tpi nmr nya msih ada msih aktif karna ganti HP jdi emailnya juga terhapus pasword emailnya juga lupa tolong bantuanya makasih.  Soalnya sya udh member gold,__label__3
"Error, ga bs msk terus, puzzle nya aja ga bs di geser",__label__1
"Katanya gratis ongkir, tapi pas check out ongkirnya super mahal.masa iya ongkirnya jauh lebih mahal dibanding harga barang.kalo gak bisa ngasih subsidi ongkir jangan gembar gembor sok2 gratis ongkir..mana barang yg dipesan gak kunjung sampai, udah 12 hari barangnya yg dipesan tidak jelas entah kemana.padahal sudah pakai shopee express, tapi barang tidak bisa di lacak.chat sama csnya sama sekali tidak membantu, malah disuruh sabar menunggu.bener2 kecewa sama pelayanan shopee",__label__1
"Gi mana ni saldo ivent yang saya kumpulkan, hasil undang teman nggak masuk, padahal proses 1×24 jam, nama Shopee saya arungnaik. Apakah ini sebuah penipuan atau apa",__label__1
"Saya punya temen sesama penjual, akunnya di Blokir sama Pihak Shopee Saya pikir, pihak Shopee ini sangat tidak bijak dalam ambil keputusan nya, asal Ban/Blokir aja, tidak ada tanda peringatan terlebih dahulu... Ini membuat syaa dan sesama penjual jadi ga nyaman..",__label__1
  paket nomer resi pindah diam tempat pilih  pilih expedisi layan buruk beli online percaya jasa expedisi layan,__label__1
"Maaf sebelum nya, saya sudah ada aplikasi Shopee cuma mau checkout gak pernah bisa, jadi saya hapus sekarang mau ngunduh lagi gak bisa karena verivikasi tertunda, gimana solusinya ya",__label__3
Semoga praktek lintah darat ditutup oleh polisi,__label__1
Solusi tidak baik,__label__1
Parah banget error nya. 4x verifikasi nggak ada yg bs kebuka,__label__1
Shopee sangat mantap kali .  gak cuman dunia saja juga ada akhiratnya juga,__label__5
   manja pakai verifikasi wajah,__label__3
"selama saya berlangganan dengan shopee ,  saya merasa senang dan puas dengan pelayanannya .  terimakasi shopee ❤️❤️❤️❤️❤️👍👍👍👍👍",__label__5
"Eror mulu aplikasinya mau mesen shope food Gagal check out (K06) Udah topup shopeepay malah gak bisa order, KECEWA!",__label__1
"Kenapa apk Shopee??? Tiap saya chat agen shoppe, belum selesai saya mengeluh tentang kendala yang saya alami, sesi chat selalu saja berakhir, ada apa dengan customer Shopee??? Harusnya membalas kendala saya, tapi malah membuat jadi rumit",__label__3
Vocer gratis ongkirnya eg bisa di gunakan,__label__1
"Baru kali ini ngalamin masalah pada proses pengiriman,seharusnya barang nyampe kemaren tapi sampai sekarang belum juga nyampe kemaren kurir jnt tanya alamat dah di kirim disuruh tunggu besok,dan sekarang ada kurir yang minta alamat lagi udah dikasih gak dibales ,gak lagi deh belanja di shoope mending jd id dengan maksimal 2hari pengiriman",__label__1
Kasih bintang satu dlu ok,__label__1
Kebanyakan Fitur bukan tambah bener malah tambah LEMOT,__label__1
"Sangat suka.  Banyak gratis ongkir nya,  pokoknya the best lah",__label__5
