reviews,label
"Good job untuk apps shopee, sangat baik dan membantu. ",__label__5
"verifikasi selalu gagal buat ambil saldo shope pay, gara2 bnyak pedagang bodong di situ",__label__1
Beli pake metode pembayaran spaylater kok malah masuknya ke belum bayar. Udh dicoba berkali2 ga bisa2 sampai dibatalkan sendiri sma sistem shoppe. Giliran di info ke CSnya sdh lengkap no order beserta screenshot malah disuruh lengkapi lagi datanya. Kan jadi rempong. Etdah,__label__1
Shoope jelek banget,__label__1
Saya suka dengan shopy,__label__5
Kali ini saya kasih 5 deh,__label__5
Sekarang shopee agak ribet hrs trs dpt vouchernya cuma sekali doang.  Pdhl dulu sampe nghak ke pake eh sekarang susahh malahan,__label__3
APLIKASI SHOPEE SERING GANGGUAN..TOLONG DIPERBAIKI,__label__1
"Penipu ya , aplikasi bluk kopong",__label__1
Aplikasi bagus sekali,__label__5
Tidak cocok barang sampai,__label__1
  alhmdulillah puas belanja,__label__5
Aplikasi nya bagus pengiriman nya cepat semoga shopee terus berkembang kedepannya👍👍👍,__label__5
"Awal pake shopee lancar, tapi setelah pesan barang dan dibatalkan toko dg alasan barang kosong, uang yg sudah ditransfer tidak bisa kembali.  Dana masuk keShopeePay tidak bisa digunakan untuk belanja dg alasan salah pin, padahal tidak pernah bikin pin, telphone keShopee katanya akan ditindaklanjuti, dpt chat diGmail, katanya sudah bisa, disuruh update, clearchange, hapus data, log out, log in, tetap ga bisa.  Terakhir Minta kembali uang juga tetap susah.  Tolong itikad baiknya, kembalikan uang saya",__label__3
Bagaimana caranya mengembalikan uang yg bukan kita melakukan pembayaran nya Aku kehilangan 31.000 karna pembayaran gk jelas,__label__1
"Bagus sih promo nya, tapi kalau mau nyari barang sangat susah, sya nyari jaket putih yang keluar malah barang selain jaket, lalu sama sekali nggak ada yang warna putih, dll.  Jadi repot, harus liat satu satu",__label__3
"Maaf kenapa ya makin lama aplikasi shopee makin lemot?? Padahal saya buka aplikasi lain gk lemot, pas buka aplikasi shopee langsung lemot.  Padahal sudah saya perbarui.  Mohon bantuannya",__label__3
ngentod ga bisa pilih jasa pengiriman,__label__1
"Aplikasi shopee ini sangat membantu saya,  saya sangat suka aplikasi ini",__label__5
  aju  pay later terima,__label__3
  puas belanja  recommended terimakasih,__label__5
Pengiriman barang sangat lama. Chat sama agen shopee pun mengecewakan .,__label__1
Di shopee sekarang gratis ongkir hanya tertentu. .  Dan hanya pengguna shopee pay dan shopee pay later saja. .  Sekarang aga kurang memuaskan konsumen.  Sekarang bayar pakai kredivo gak bisa. . ?? Kenapa. ??,__label__3
Apk sekarang suka gini ya.  Kalo gak diupdate gak mau jalan.  Tapi update terbaru selalu lebih berat.  Padahal gak semua user butuh fitur2 terbaru yg ada.  Sebagian user cukup dg fitur sederhana dan ringan. ,__label__3
"Bagus sekali cepat tanggap dan rapi setiap pengiriman,  barang selalu sesuai",__label__5
"Ini gimana sih, masa shopeepay gue ga bisa? Padahal udah di up, ga jelas",__label__1
"Holaa, saya hendak membayar shopepayltr, namun tidak muncul dishopee selama bbrp hari.  Sebentar lagi jatuh tempo.  Saya harus bagaimana?? Tolong perhatiannya pihak shopee 🙇",__label__3
lagi mau cairin duit di shopepay lambatnya minta ampun,__label__1
Alhamdulillah banyak membantu semoga lebih berkembang lagi untuk kedepannya,__label__5
Biaya penangan COD terlalu tinggi.  Jabodetabek ongkir 10rb.  Harga Produk 50rb Biaya penangan COD 6RB.  Total Jadi 66Rb.  Total Biaya Penangan COD + Ongkir 16Rb Untuk Area Jabodetabek.  Pantas Makin Sepi Aja Jualan Di Shopee,__label__3
  voucher,__label__3
"Di smartphone saya (Lenovo P2, Android 7. 0) aplikasi tidak bisa dibuka dari shortcut.  Kalau buka aplikasi dari shortcut malah kebuka shopee vietnam yg huruf nya tidak bisa dimengerti.  Mohon diperbaiki bug nya.  Ga pengaruh udah clear cache login logout, maupun install ulang app.  INI CUMA SALAH SHORTCUT AJA KAK. ",__label__3
Bukti transfer lama kali di prosesnya hadeuhh,__label__1
Akun shopee saya dinonaktifkan,__label__1
Memudahkan dalam berbelanja dna banyak promo dna harga lebih murah dari pda d toko,__label__5
"Paylaternya ngga diperbaikin, kredit di nol kan sudah lama, dikompalin suruh tunggu terus nunggu pandemi, kalo nunggu pandemi bibar yaa ngga perlu diadain ajaa. .  hapus semuaa. . ",__label__3
Makin kesini makin menurun,__label__1
"Kak kenapa akun shopee saya di non aktifkan. . . ? Padahal saya ngk punya salah* apa apa, ngpa*n juga enggk, cuma mau buka apk aja ketrnngannya akun anda telah dinon aktfkan kaya gitu. . . ? Gimana solusinya kak. ",__label__3
  ongkir murah,__label__3
"maaf shopee saya kasi rat 1, jujur sangat kecewa sama kurir yang nyasar mengantarkan pesanan saya ntah kemana pesanan nya, says pikir tetangga tetapi bukan, tetangga saya gada yang nerima paket sama sekali, tak saya coba refund tapi pihak shopee dan toko meminta bukti, bagaimana saya bisa kasi bukti wong saya nda nerima barangnya. saran : lebih baik di foto penerima nya baik itu tetangga atau siapapun, biar lebih aman. agar tidak terjadi lagi kejadian yang merugikan ini untuk yang lain.",__label__1
Shopee tambahin fitur wishlist dong kayak apk lainnya. Masa udah ngelike barang tp gk bisa liat wishlist. Tolong pihak shopee untuk menambahkan fitur tersebut Makasih. Terus untuk apk shopee nge-lag/lemot itu bawaan device atau emang dari apknya ya?,__label__1
Lumayan belanja di shopee asal kita bisa memilah toko nya mna yg baik dan kurang baik kita liat dari testimoni,__label__5
Aplikasi belanja nomor satu .  Dengan kemudahan dan promo menariknya,__label__5
"Sampai saat ini shoppe mash bagus,  semoga kedepannya makin bagus",__label__5
"Dlu sangat suka dgn apl ini. . . tapi skrg kenapa setiap aku ingin top up uang pke atm selalu gak bisa. . . . disuruh tunggu beberapa saat Dan udh berhari""aku coba slalu d layar hp tertulis bnyk yg menggunakan layanan ini. . . silshkn coba beberapa saat lg Tapi klo aku top up pke indomart bisa. . . petunjuk e muncul Tp blm prnh nyoba klo tf d indomart. . . takut gk bisa",__label__3
Bintang satu karena cari barang gak ketemu apk bosok anjg,__label__1
"Keamanan nggak   , knapa sampe bisa cek out sendiri",__label__1
Pelayanan nya sangat jelek,__label__1
Hai kk knp yaa aq pesen brang d shopee kog gk pernah bisa..,__label__1
Sangat puas belanja di shopee,__label__5
Mantap Shopee baru 2 x belanja hasilnya sangat memuaskan. terima kasih Shopee. ,__label__5
"Tolong diperbaiki lagi dengan pengiriman , kadang lama banget kadang juga cepat mksh",__label__5
"Aplikasinya berat ,  butuh sinyal gede",__label__5
"Saya sudah mengajukan penggantian nmr HP tp sampai skrg tdk ada kabarnya sudah accepted atau blm. . akhir2 ini saya buka shopee tdk bisa krn tdk ada internet katanya, padahal sdh saya coba pake wifii,pake data masih jg tdk bs. . apa sih masalahnya?. shopee terbaikk,keamanannya baguuss,cuma ribet saja jk kita mendapatkan barang rusak, dia minta vidio unboxing, ya barang saya banyak yg dibeli, ada 1 produknya yg rusak. . saat diunboxing ya lengkap. tp yg rusak itu gmn. mau menilai krn lama gx bs lg. ",__label__3
  malas  isi  pay biaya admin,__label__1
"Pelayanan sangat luar biasa ,  semoga semakin lebih baik lagi ke depan nya",__label__5
"Masih berat kalo di buka lama loadingnya, tolong dibuat ringan, agar lebih cepat dibuka aplikasinya…",__label__3
