reviews,label,review
"Login akun lama di suruh scan code QR giliran di scan gak bisa masuk, sungguh aneh",__label__1,"__label__1 Login akun lama di suruh scan code QR giliran di scan gak bisa masuk, sungguh aneh"
tidak memenuhi syarat dan ketentuan penggunaan voucher shopee Gak jelas kali ni shopee,__label__1,__label__1 tidak memenuhi syarat dan ketentuan penggunaan voucher shopee Gak jelas kali ni shopee
Sangat mengecewakan ribet dan dipersulit mending ganti ke e commers yang lain aja dan sumpah,__label__1,__label__1 Sangat mengecewakan ribet dan dipersulit mending ganti ke e commers yang lain aja dan sumpah
Resto yg buat kecewa pelanggqn tolong di blok khusus yg dpt bintang satu..udh 2x sy kecewa,__label__1,__label__1 Resto yg buat kecewa pelanggqn tolong di blok khusus yg dpt bintang satu..udh 2x sy kecewa
"Kecewa baru kali ini beli token,tapi dsruh ngguin proses nya hmpir seminggu.udah proses nya lama,gak bisa dibatalin LG pembelian nya",__label__1,"__label__1 Kecewa baru kali ini beli token,tapi dsruh ngguin proses nya hmpir seminggu.udah proses nya lama,gak bisa dibatalin LG pembelian nya"
"Shopee lelet banget dah ,,",__label__1,"__label__1 Shopee lelet banget dah ,,"
"Pencairan dana udah 8 hari gak cair², kenapa lama banget?",__label__1,"__label__1 Pencairan dana udah 8 hari gak cair², kenapa lama banget?"
"Driver shopee nya ga benerr, minta cancel pesanan, trus update an mapp ga berubah, suka out saat buka shopee food",__label__1,"__label__1 Driver shopee nya ga benerr, minta cancel pesanan, trus update an mapp ga berubah, suka out saat buka shopee food"
Mohon di perbaiki sering tidak bisa memuat gambar atau sering eror ladahal jaringan udah 4G,__label__1,__label__1 Mohon di perbaiki sering tidak bisa memuat gambar atau sering eror ladahal jaringan udah 4G
"Csnya gak jelas ngasih solusinya, udah ngikutin yang di kasih tau masih gak bisa",__label__1,"__label__1 Csnya gak jelas ngasih solusinya, udah ngikutin yang di kasih tau masih gak bisa"
sue dah cape² undang teman dah kyc sgala gak masuk referal nya plus reward nya.unistal aja,__label__1,__label__1 sue dah cape² undang teman dah kyc sgala gak masuk referal nya plus reward nya.unistal aja
Sangat mengecewakan dan sangat menakutkan sebab banyak penjual penipu dalemnya.....ihh serem,__label__1,__label__1 Sangat mengecewakan dan sangat menakutkan sebab banyak penjual penipu dalemnya.....ihh serem
"Parah sekali Masak kita pesan pket di shope tp sngt lama di antar Mhon shope expedisi jgan cma di ksih ke jnt aja Pket kmi udh smpe sbln di jnt blum antar Kmi para online shop sngat merasa di rugikan Kan msih ada expedi ninja, antar aja atw sicepat. Mhon bsok di benahin shope Klo kmi akan pindah ke Tokopedia Pdhl sngat mencintai shope dlu ea",__label__1,"__label__1 Parah sekali Masak kita pesan pket di shope tp sngt lama di antar Mhon shope expedisi jgan cma di ksih ke jnt aja Pket kmi udh smpe sbln di jnt blum antar Kmi para online shop sngat merasa di rugikan Kan msih ada expedi ninja, antar aja atw sicepat. Mhon bsok di benahin shope Klo kmi akan pindah ke Tokopedia Pdhl sngat mencintai shope dlu ea"
Kecewa. Engga ada yang beres pelayanan Shopee. Engga pake engga Shopee food nya🤦‍♂️,__label__1,__label__1 Kecewa. Engga ada yang beres pelayanan Shopee. Engga pake engga Shopee food nya🤦‍♂️
"SangatLah buruk shopee, sangat lemot sekali membuka fitur didalamnya, sngguh mengecewan.. berbeda dengan lazada sngat  bnget klau mau bka fitur.. auto uninstal shopee",__label__1,"__label__1 SangatLah buruk shopee, sangat lemot sekali membuka fitur didalamnya, sngguh mengecewan.. berbeda dengan lazada sngat  bnget klau mau bka fitur.. auto uninstal shopee"
"Saya turunkan ratingnya, karena kecewa dalam menangani pengaduan pembeli...",__label__1,"__label__1 Saya turunkan ratingnya, karena kecewa dalam menangani pengaduan pembeli..."
Kenapa saya isi ulang shopepay tapi sampai sekarang belum masuk juga dana nya?,__label__1,__label__1 Kenapa saya isi ulang shopepay tapi sampai sekarang belum masuk juga dana nya?
"Akun saya dibekukan. ,Padahal saya rasa tidak melanggar kebijakan apapun...",__label__1,"__label__1 Akun saya dibekukan. ,Padahal saya rasa tidak melanggar kebijakan apapun..."
"Akun saya tiba-tiba di blokir ,tanpa tau penyebab nyaa. Baru masuk aplikasi",__label__1,"__label__1 Akun saya tiba-tiba di blokir ,tanpa tau penyebab nyaa. Baru masuk aplikasi"
"sistem tidak jelas, akun saya kena hack, Pihak shoppee harus tanggung jawab",__label__1,"__label__1 sistem tidak jelas, akun saya kena hack, Pihak shoppee harus tanggung jawab"
Gajelas bgt upgrade shopeepay gagal gara-gara foto buram pdhl udh nyoba berkali kali terus ketentuan voucher gajelas,__label__1,__label__1 Gajelas bgt upgrade shopeepay gagal gara-gara foto buram pdhl udh nyoba berkali kali terus ketentuan voucher gajelas
Biaya penanganan makin menjadi-jadi percuma gratis ongkir Kalau biaya penanganan mahal,__label__1,__label__1 Biaya penanganan makin menjadi-jadi percuma gratis ongkir Kalau biaya penanganan mahal
Tadinya mau belanja dishopee...eh kok ulasannya pada kecewa...ya sudah gak jadi,__label__1,__label__1 Tadinya mau belanja dishopee...eh kok ulasannya pada kecewa...ya sudah gak jadi
"Beli Token listrik ga bisa di gunakan, pulsa nomor telpon juga ga bisa digunakan. PARAAH...👎👎👎👎👎👎👎👎👎👎",__label__1,"__label__1 Beli Token listrik ga bisa di gunakan, pulsa nomor telpon juga ga bisa digunakan. PARAAH...👎👎👎👎👎👎👎👎👎👎"
Kenapa saya lagi buka shope tiba tiba keluar dari akun tolong kenapa ya kok bisa bgtu,__label__1,__label__1 Kenapa saya lagi buka shope tiba tiba keluar dari akun tolong kenapa ya kok bisa bgtu
Percumaa shoppefood grts ptgn 25k trs ada vcer grts ongkr ttp aja ada ongkrny 6k dan rtrt vocer hrs pke sistem shopepay gabisa cod yg gangerti gabiasa pake kn jd prcma gakepake,__label__1,__label__1 Percumaa shoppefood grts ptgn 25k trs ada vcer grts ongkr ttp aja ada ongkrny 6k dan rtrt vocer hrs pke sistem shopepay gabisa cod yg gangerti gabiasa pake kn jd prcma gakepake
Hati hati buat pengguna baru jangan keseringan scan kode voucher alfamart indomaret akun Shopee kalian bisa si blokir sistem shopeelj,__label__1,__label__1 Hati hati buat pengguna baru jangan keseringan scan kode voucher alfamart indomaret akun Shopee kalian bisa si blokir sistem shopeelj
kenapa.shoppe saya tidak di bisa digunakan saya pencet metode pembayaran malah eror woy jawab,__label__1,__label__1 kenapa.shoppe saya tidak di bisa digunakan saya pencet metode pembayaran malah eror woy jawab
Aplikasi nya lamban sekarang,__label__1,__label__1 Aplikasi nya lamban sekarang
Kalo komplain gapernah baik respon CS nya. Selalu dikalahkan dan disalahkan pembeli.,__label__1,__label__1 Kalo komplain gapernah baik respon CS nya. Selalu dikalahkan dan disalahkan pembeli.
kecewa sih sama pihak shoope,__label__1,__label__1 kecewa sih sama pihak shoope
Kataya setiap penguna baru dapet gratis ah teryata bohong besar GK AQ kasih bintang AQ hapus lgi ah yesall,__label__1,__label__1 Kataya setiap penguna baru dapet gratis ah teryata bohong besar GK AQ kasih bintang AQ hapus lgi ah yesall
Udh di perbaru mlah tambah goblog bkn mlh bgus di live koin ny gk muncul,__label__1,__label__1 Udh di perbaru mlah tambah goblog bkn mlh bgus di live koin ny gk muncul
woy gratis ongkir gue beli mahal mahal gak bisa d pake parah banget,__label__1,__label__1 woy gratis ongkir gue beli mahal mahal gak bisa d pake parah banget
"Hasil pencarian tidak relevan, tidak lengkap produknya , ongkos kirim mahal",__label__1,"__label__1 Hasil pencarian tidak relevan, tidak lengkap produknya , ongkos kirim mahal"
Sedang tidak baik aplikasi nya mohon di perbaiki... jangan hanya bakar uang 💸 saja,__label__1,__label__1 Sedang tidak baik aplikasi nya mohon di perbaiki... jangan hanya bakar uang 💸 saja
Dari bintang lima ke dua ampe satu.... Emang makin ga bener ni apk... Pindah haluan ke si ijo ae lah😑😑😑,__label__1,__label__1 Dari bintang lima ke dua ampe satu.... Emang makin ga bener ni apk... Pindah haluan ke si ijo ae lah😑😑😑
Saldo shopee pay tiba2 kepotong tanpa ada permintaan isi pin. Dan ga ada pemberitahuan,__label__1,__label__1 Saldo shopee pay tiba2 kepotong tanpa ada permintaan isi pin. Dan ga ada pemberitahuan
