reviews,label
"min buat voucernya minim blanjanya buat 0 rp ,   ongkirnya gratisongk",__label__3
𝙺𝚎𝚗𝚊𝚙𝚊 𝚜𝚞𝚜𝚊𝚑 𝚍𝚒 𝚞𝚙𝚐𝚛𝚊𝚍𝚎,__label__3
Zainal A2 AA w download aplikasi kartu naeAaw Bun lucu,__label__3
"Lemoot banget woy aduh gmna niih ,   udah tiap hari setoran hrus pake shopee pay lg yampun",__label__3
Kenapa shopee10.   10 eror trs .   .   .   dibuka kdng gak muncul,__label__3
dikit dikit update damn it,__label__3
Gimana ini update applikasi macet trus kak,__label__3
Shopee ne brgny bagus2.   .    tp yg bikin mslh ongkirnya terlalu mehong.   .   😀😀🙏🙏,__label__3
ongkir nya ko jadi mahal,__label__3
"Masih banyak tokoh yg tidak rekomen ,   kemarin saya pesan jam tangan di salah satu tokoh shopee mall dan jam yg saya terimah jam mati ,   parahnya tokoh tidak mau terima komplen kalau tidak ada video unboxing ,   maksudku saya kalo mau sama² enak bagaimana klo ada juga video packingnya supaya tidak ada yg d rugikan toh !  !  ! ",__label__3
aplikasinya semakin berat,__label__3
kenapa tidk bisa byar mnggunakan aplikasi aku laku lgi,__label__3
Cuba dulu siapa tau oke,__label__3
apk rada lemot,__label__3
Aplikasinya sering macet,__label__3
G jelas harga produk nya,__label__3
Dulu ongkir nya murah sekarang mlh nambah2 trs .   .   .   .   .   ,__label__3
INI SHOPEE GIMANA SIHH KENAPA SEKARANG JARANG BANGET ADA VOUCHER GRATIS ONGKIR COD SEMUA VOUCHER HAMPIR BUAT SHOPEEPAY / PAYLATTER KENAPA BUAT COD GAADA😭😭😭😭😭😭😭😭😭,__label__3
Kadang suka keluar sndiri,__label__3
Sistem kurang memuaskan,__label__3
Makin lama makin ngelag,__label__3
Kenapa nggak bisa login,__label__3
Aplikasi nya cukup baik,__label__3
Ongkir naik 100 % lebih,__label__3
Aplikasinya sangat baik,__label__3
Ongkirnya sekarang terlalu mahal,__label__3
Bijaksana dalam belanja,__label__3
"Banyak penipuan yg mengatas namakan shopee ,   dan anehnya penipu itu bisa masuk dan mengakses akun shopee saya.    Artinya akun shopee sangat tidak aman atau kemungkinan ada pembobolan data pengguna shopee.    Jadi mohon di perbaiki demi keamanan pengguna.   ",__label__3
Keseringan update jadi lemot aplikasinya,__label__3
"Lemot ,  tapi ok",__label__3
Lebih mudah ber belanja,__label__3
Habis update sering error,__label__3
"Barang saya mematung di Bandung ,   15 Desember sampai kemarin tulisannya  :  Paket telah di kirim dari Bandung ke tempat sortir ,   terus chat ke costumer shopee hari ini baru Paket telah di kirim dari Palembang ke tempat sortir ,   estimasi sebelum selasa ,   21 Des 2021 sudah diterima.    Hari Ini tanggal 20 ,   mohon Shopee di perhatikan barang yang terpendam atau barang yang tidak ada pergerakan.    Sungguh MENGECEWAKAN.   ",__label__3
shopee kenapa nih masa shopeepaylaterku gabisa dipake😢,__label__3
Knpa sy susah login y,__label__3
Kenpa yah gak bisa login,__label__3
Baguss banget Saya puas,__label__3
Trllu sering pembaruan.   jdi puyeng mkirin kuota.   a msak dlm 1 bln z ntah brpa x pmbaruan.   tlonglah admin jgn trllu sring pmbaruan.   a,__label__3
Tingkatkan lagi sestemnya,__label__3
"Ok.    Tapi tetep ada tapinya.    Klaim koin harian dulu bisa sampai 150 ,  skr hanya mentok 100.    Koin penilaian brg terbeli skr mentok 25 ,  dulu bisa 100.    S pay later q dulu sempat bisa ,   trus langsung diblok.    Pdhal jelas foto ktp q asli ,   pas umur muda.    Skr bpk2 sdikit beda muka ,   malah kena blok.    Lain2 kyk gratis ongkir ok ,   brg ok komplit.    Cma ada beberapa penjual nakal.    Itu yg sulit terdeteksi.   ",__label__3
"Shopee jadi kacau  ,  belanaja halaman tidak sedia mulu",__label__3
Shoope pay latter saya kenapa ditolak.   .   .    🤣,__label__3
Tambah diupdate ko tambah lemot aplikasinya,__label__3
Haloo kak bantu cara jualan lewat shopee dong,__label__3
Shopee mudah dan cepat,__label__3
Makin sini makin parah,__label__3
saya suka benja di shopee,__label__3
Makai voucher gratis ongkir malah kode F01,__label__3
Bagus aplikasinya.   .   .   .   ,__label__3
akhir2 ini lebih lemot,__label__3
"Kenapa akses ke aplikasi shoppe lemot sekali ,   saya buka 3 aplikasi online shop yang lainnya kayak lazada ,   toko pedia ,   jd id masih kencang bisa akses.    hanya shoppe saja yang lemotnya minta ampun ,   sekarang saya login pun tak bisa gegara diakses lemot sekali tolong diperbaiki aplikasinya adooh.    Saya sudah beli barang lagi gimana mau cari taunya kalau barangnya sampai mana kalau begini !  ! ",__label__3
Gak pernah dpt flash sale,__label__3
Sering bgt minta update,__label__3
Terlalu sering update.   ,__label__3
Tolong untuk shopeefoodnya dikasih invoice dong,__label__3
Senang belanja di shope,__label__3
Fitur spinjam saya gk muncul 🙏,__label__3
Kenapa sering lag parah,__label__3
Shopee sekarang lama loading kalo klik produk,__label__3
Sampe 800MB di internal.   .   .    Kegedean buat marketplace doang,__label__3
Barang nya bagus bagus,__label__3
yg penting free ongkir,__label__3
Adakah apk shopee khusus penjual  ? ,__label__3
"SDH lama langganan di Shopee.    Dan semua fitur SDH aku pakek mulai dr shopepay ,   shopepaylater ,   bahkan shope pinjam.    Tapi sekalipun GK pernah dpt bonus ,   hadiah ,   apalagi bantuan ,   smpai akhirnya numpuk hutang disini.   🙏🏼🙏🏼",__label__3
kasi bintang 3 aja dah🙄,__label__3
Tiap hari harus update,__label__3
Aplikasi sangat membant,__label__3
"Aplikasi sering hank ,  ",__label__3
Sangat bermanfaat bagi saya,__label__3
"Sebenarnya bagus udh Shopee nih ,   cmn akhir akhir ini Shopee ribet bgt heran ,   punya lebih dr satu akun aja gk bisa ,   kesel bgt ,   pdhl di akun satunya aku punya voucher diskon malah gk bisa checkout ,   hadehh ,   tolong nih jgn terlalu ketat bgt Shopee ,   lama lama saya juga mau pindah klo kek gini trs",__label__3
Aduh freong nya naik LG minimal 50rb.   .   😭😭 baru fre 10k,__label__3
Shopee skrng lebih boros kuota aku jd GA suka,__label__3
Akuu kenapa gak bisa buka shope tanam kak,__label__3
Ongkir Rp0 itu memang gratsi Ongki ? ,__label__3
"Udah keluar rumah dari pagi sampe malem ,   muter - muter kemana aja ,   Tetep aja anyep.    Tolong itu yang make Fake Gps or MEMBER shopee food nya ,   yang kerja sama dengan orang dalem ,   diberantas lah.    Adil wooii.   .   .   .   .   .   .   .   .   .   ",__label__3
Dana cepat nya merugikan,__label__3
Shopee pokok nya ok.   .   ,__label__3
Butuh gratis ongkir  :  ( ,__label__3
Nyoba dl kalau bagus sy tambah bintang nya☺☺☺,__label__3
Suka banget dg apl ini,__label__3
"Maaf saya mau nnya apa benar shopee sedang ada gangguan ?  ? masalah nya saya gk bisa masuk ke akun saya kenapa saya jd pengguna baru lagi ?  ? maaf juga saya turunin bintang nya karna saya kecewa udh 2 hari gk bisa masuk ke akun shopee saya ,  tolong segera d perbaiki karna saya punya cicilan bingung mau bayar nya nanti klo eror terus ,  saya udh hapus beberapa x aplikasi nya terus download lagi ,  hapus cache juga tp ttp ajah gk bisa.   .   tolong segera mungkin perbaiki",__label__3
"Ma'af.   .    dulu prtama pnguna'an aplikasi ini.    Sunguh luar biyasaa.    Nyman.    Dan puas sama brg2 nyaa.    Dan satu lagy.    Slalu dpt gratis ongkir.    Atw pun potongan sparuh harga ongkir nya.    Tapi sekarang knapa saya tidak pernah bisa mengunakan nya lagy yeaa.    Vocher gratisan saya bnyak.   .    tpi pas di pke.    Tk ada sama sekali.   .    Tolong.   .    bntu donk gi mana cara nyaa.    Supya saya bisa mengunakan Gratis ongkir nya lagy.   .    atw potongan sepruh hargaa.   🙏🙏 klo masalah kualitas.    Smua nya terjamin bagu ,   dan memuaskan.   .   ",__label__3
Sekarang buka shopee lemoot banget pake hp jadul SD810 Ram 3gb,__label__3
Tepat waktu pengiriman,__label__3
Shoppe kenapa sekarang isi alamat susah,__label__3
Shoope pay ku kenapa gabisa di pake😑😑,__label__3
terlalu sering update,__label__3
Terlalu banyak update,__label__3
Terlalu sering update 😩,__label__3
Ada apa dengan shopee,__label__3
sistem mudah dipahami,__label__3
Cukup dapat dipercaya,__label__3
Aplikasinya oke lah.   ,__label__3
bintang 3 dulu lah ya,__label__3
Sering muat ulang.   .   .   😡😡😡😡😡,__label__3
Barang sesuai pesanan,__label__3
🙈🙈🙈 jelek apknya terlalu besar loading terus pdhl jaringan bagus,__label__3
Coba dulu nanti aku tambah lgi 10 😊😊😊,__label__3
Beli kuota ngga masuk2,__label__3
Aplikasi nya berat lemot,__label__3
Perbaruan panjang.   .   .   ,__label__3
"Sekarang shopee gak kaya dulu lagi ,   lemot banget udah di perbarui ,  hapus cache tetep aja gk ngaruh.   .    Dan sekarang udah gak bisa pilih sendiri ekspedisi  ,   lah kalau begini mahal banget pengiriman pakai cargo.   .   biaya ongkir lebih mahal dari harga barang nya.   .   ",__label__3
Kenapa ongkir mahal banget sekarang kak,__label__3
Maaf saya kasih bintang 3.   .    sebenernya shopee bagus.    Hanya kurang aman.   .    ada nya toko2 penipu yang di biar kan.   .    pembeli komplen bahkan menyertakan bukti.    Malah toko penipunyanh di bela.    Seharusnya di cek dan diselidiki toko nya.   .    kasian buyer2 yang kena tipu oleh toko.   ,__label__3
Kalau saya sih ok ok aja,__label__3
Skarang shoppe susah dapat gratis ongkir😟,__label__3
Sekarang sering lemotnya,__label__3
Flas sale cuma kebohongan publik,__label__3
"Mohon maaf kak ,   saya membeli barang dan saya memilih metode pembayaran di alfamart kak.   .    Saya itu udah membayar nya dan cukup mengeluarkan banyak uang tapi barang nya kok gak dikirim² udah cukup nunggu lama.   .   ",__label__3
Baru lon tau program nya,__label__3
"Bisa gak sih shopeepay dan spinjam di cicil² gitu lho ,   biar saya juga ringan bayarnya tiap Minggu saya cicil ,   kalo langsung bayar penuh terkadang uang saya sudah habis ,   tolong untuk pihak shopee bisa bikin cicilan ,   kalo begini saya pusing bayarnya setiap bulan harus full ,   mengerti kan ya maksud kata² saya",__label__3
Mengapa shopepaylatter nya gabisa kebuka,__label__3
"Saya mau request min ,   tolong sediakan fitur hapus riwayat pesanan di bagian riwayat  "" selesai ""  ,    "" dibatalkan ""  dan  "" pengembalian "" .    Nanti penilaian bintangnya saya perbaharui kalau udah ada fiturnya.    Terimakasih🙏",__label__3
Sering bgt kudu diupdate😢,__label__3
Belanja jadi ga ribet,__label__3
Gak ada gratis ongkir,__label__3
Aplikasi sangat bagus,__label__3
Kenapa keluar sendiri,__label__3
Loadingnya lama,__label__3
Apk nya bagus !  !  ! ,__label__3
Ongkir mahal gak ngotak ke kalimantan,__label__3
Geme nya bagus banget,__label__3
"Shopee.   .    dari dulu smpe sekarang ,  aplikasi nya lemott.   .   .    makan ram.   .   .   ga enteng.   .   .    padahal ram 6gb😑 ,   loading nyaa luama pdahal kecepatan internet nya cepet ,  streaming aja lancar.   .    main game berat aja ga selemot ini.   .    kenapa sih ga bisa buat yg lebih ringan gtu.   .    🙄😑",__label__3
Shoope makin lemot 👎,__label__3
Mengganggu bgt,__label__3
Aplikasinya lemot banget🔥🔥,__label__3
