label,reviews
__label__1,"makin sini makin lemot, buka keranjang aja lama bener deh. lama² uninstall jg ni apk"
__label__1,"mohon pas 10.10 , 11.11 , 12,12 flash shale nya pada pake bot jadi auto beli tolong pihak shopee ban bot nya 🙏🙏🙏"
__label__1,Aplikasi terlalu berat padahal WiFi dan spek hp saya cukup tinggi
__label__1,pihak JNT g jelas ngirimnya... putus saja kerja samanya
__label__1,Kok shopeepay saya melakukan transaksi sendiri dan berkurang?
__label__1,Nyusahin ganti mode pembayaran padahal uang pas pas an malah gak bisa ganti mode pembayaran
__label__1,terlalu banyak makan baterai dan kuota padahal tidak di buka atau digunakan.
__label__1,"Loading terlalu lama, tidak memprioritaskan apa yg seharusnya di load duluan"
__label__1,Kenapa akun saya baru bikin langsung dihapus tanpa alesan yg jelas mana barangnya udh mau dichekout emng gajelas shopee
__label__1,"Sangat amat buruk,pengiriman paket sangat amat lama skali saya sangat kecewa"
__label__1,"Shopee kenapa sekarang jadi gini, udah ga kayak dulu lagi 🥲"
__label__1,"Kenapa sekarang ngga bisa dapet gratis ongkir, makin sini makin aneh nih apk"
__label__1,"Shopeepay ribet banget, masa harus nunggh sampai 7 hari buat penarikan dana,"
__label__1,"Punya saldo shopee pay ,,tapi di saat urgent mau beli pulsa aja ga bisa dipake"
__label__1,lama banget instal nya udah pake wifi jaringan wifi nya juga bgs tadi juga sempet ilang
__label__1,"Aplikasi lambat, update terus, Ui lemot. Beda sama TOKOPED!A"
__label__1,"Ga bisa login min. Perbaiki dong, soalnya shopeepay gw disitu."
__label__1,Tiga hari sekali selalu diperbarui dan kalo ga di perbarui selalu lemot!!
__label__1,kenapa ga bisa ganti nama di Rezeki Nama Shopee yg diadakan tiap minggu??
__label__1,"ak kena tipu bangg,penipu nya mengatas namakan shopee,kta penipu nya ak menang undian 12.12 trus tu ak di suruh ngirim kode otp dan saldo ku ketarik"
__label__1,gk cocok dapat bintang 5..cukup 1 aja wd ke bank nunggu lama proses terus jd guna lama2 soppe pentingin dulu member klo mau dpt bintang 5 soppe👎👎👎👎👎👎👎
__label__1,"shopee sekarang mah pelit ngga kayak dulu lagi, mana ongkir mahal lg, dahlah pindah ke BUKALAPAK aja"
__label__1,pengiriman lama banget dah gak jelas semoga hari hari mu menderita
__label__1,"kok makin kesini makin susah, cuma mau buka profil aja gak muncul muncul,"
__label__1,"Gratis ongkir cod ga bisa dipake, pdhal udh beli ttp ga bisa!!"
__label__1,Sangat lambat 🐌 kayak bekicot
__label__1,"Eror. Force close terus. Baru juga searching, langsung ketutup"
__label__1,Aneh saya ingin mengajukan paylater gagal terus udah berkali2 padahal udah diisi dengan bnar
__label__1,"Size gede,aplikasi lemot,loading lama dan akhir2 ini sering close sendiri"
__label__1,SHOPEE KEBANYAKAN MASALAH... ADA VOUCHER TP GK BISA DIPAKE..NGAPAIN KASIH VOUCHER?? APLIKASI B*D*H
__label__1,Pengiriman barang sangat lama. Chat sama agen shopee pun mengecewakan .
__label__1,perbaiki sistem shopipay saat menggunakan gratis ongkir dengan uang pas malah tidak bisa
__label__1,"shopee jelek amat apps nya,loading mulu ,tolong di perbaiki servernya biar g loading"
__label__1,Saya sering kesulitan dalam melakukan pembayaran menggunakan kartu debit
__label__1,Aplikasi shopee di hpku Harus update tiap bulan Kalau nggak update tetap promo bulan 12 12 Udah gtu update nya susah bnget
__label__1,Ongkir nya mahal bngt. ..
__label__1,Apasih gk bisa di update
__label__1,"Apk buriq, sering minta update"
__label__1,Makin ke sini makin berat kebanyakan tambahan fitur jadi aneh
__label__1,Udah beda Shopee ngga kaya kemaren banyak cashback
__label__1,"Maaf nurunin bintang, makin kesini makin lemot,, keseringan error.."
__label__1,knpa kok tiap masuk shoppe slalu lelet koneksinya lemot padahal sinyal 4G  tiap pas pilih barang cekout lama loading nya gk langsung pas klik barang lasung ada bkn dri sinyal hpnya tpi aplikasinya yg jelek ini mh
__label__1,"apalah akun ilang terus udah sering bkin akun,tetep aja tiba tiba ilang log out sendiri"
__label__1,"Eror mulu aplikasinya mau mesen shope food Gagal check out (K06) Udah topup shopeepay malah gak bisa order, KECEWA!"
__label__1,"Shopee parah ni sekarang isi saldo shopee pay tapi ga masuk"" info cs juga hanya itu yang di balas kecewa si"
__label__1,Hha ga ada guna nya aplikaasi lemot burik wkk ongkir mahal pertama mau belanja katanya gratis ongkir wkwkk nipu tapi tetep harus bayar ongkir mahal mahal harga satu setel baju wkk najis lagi dgn ketipu iklan nya lemot lagi wkk🤦‍♀️ uninstal lagi deh bay
__label__1,"Aplikasi sering ngelag, iklan nya gak ngotak. Jangan download aplikasi ini"
__label__1,Kita laporkan saja kepada pihak yang berwajib agar di usut sekalian biar di TUTUP
__label__1,SHOPPE CARGONYA MALAH DI GABUNG JNE DAN SICEPAT. BARANG YG DIKIRIM DPT KURIR JNE CARGO DATANG SELALU PECAH BELAH DAN LAMA. ONGKIR KARGO SEKARANG JADI MAHAL SETELAH CARGO SICEPAT DAN JNE DIGABUNG. BRING BACK SICEPAT GOKILS ONLY
__label__1,Penanganan Complaine terlalu lambat .. Dan Harus menunggu 3 - 5 Hari kerja Brand sebesar shopee
__label__3,Coba dulu nanti aku tambah lgi 10 😊😊😊
__label__3,Beli kuota ngga masuk2
__label__3,Aplikasi nya berat lemot
__label__3,Perbaruan panjang.  .  .  
__label__3,"Sekarang shopee gak kaya dulu lagi,  lemot banget udah di perbarui, hapus cache tetep aja gk ngaruh.  .   Dan sekarang udah gak bisa pilih sendiri ekspedisi ,  lah kalau begini mahal banget pengiriman pakai cargo.  .  biaya ongkir lebih mahal dari harga barang nya.  .  "
__label__3,Kenapa ongkir mahal banget sekarang kak
__label__3,Maaf saya kasih bintang 3.  .   sebenernya shopee bagus.   Hanya kurang aman.  .   ada nya toko2 penipu yang di biar kan.  .   pembeli komplen bahkan menyertakan bukti.   Malah toko penipunyanh di bela.   Seharusnya di cek dan diselidiki toko nya.  .   kasian buyer2 yang kena tipu oleh toko.  
__label__3,Kalau saya sih ok ok aja
__label__3,Skarang shoppe susah dapat gratis ongkir😟
__label__3,Sekarang sering lemotnya
__label__3,Flas sale cuma kebohongan publik
__label__3,"Mohon maaf kak,  saya membeli barang dan saya memilih metode pembayaran di alfamart kak.  .   Saya itu udah membayar nya dan cukup mengeluarkan banyak uang tapi barang nya kok gak dikirim² udah cukup nunggu lama.  .  "
__label__3,Baru lon tau program nya
__label__3,"Bisa gak sih shopeepay dan spinjam di cicil² gitu lho,  biar saya juga ringan bayarnya tiap Minggu saya cicil,  kalo langsung bayar penuh terkadang uang saya sudah habis,  tolong untuk pihak shopee bisa bikin cicilan,  kalo begini saya pusing bayarnya setiap bulan harus full,  mengerti kan ya maksud kata² saya"
__label__3,Mengapa shopepaylatter nya gabisa kebuka
__label__3,"Saya mau request min,  tolong sediakan fitur hapus riwayat pesanan di bagian riwayat ""selesai"",  ""dibatalkan"" dan ""pengembalian"".   Nanti penilaian bintangnya saya perbaharui kalau udah ada fiturnya.   Terimakasih🙏"
__label__3,Sering bgt kudu diupdate😢
__label__3,Belanja jadi ga ribet
__label__3,Gak ada gratis ongkir
__label__3,Aplikasi sangat bagus
__label__3,Kenapa keluar sendiri
__label__3,Loadingnya lama
__label__3,Apk nya bagus!!!
__label__3,Ongkir mahal gak ngotak ke kalimantan
__label__3,Geme nya bagus banget
__label__3,"Shopee.  .   dari dulu smpe sekarang, aplikasi nya lemott.  .  .   makan ram.  .  .  ga enteng.  .  .   padahal ram 6gb😑,  loading nyaa luama pdahal kecepatan internet nya cepet, streaming aja lancar.  .   main game berat aja ga selemot ini.  .   kenapa sih ga bisa buat yg lebih ringan gtu.  .   🙄😑"
__label__3,Shoope makin lemot 👎
__label__3,Mengganggu bgt
__label__3,Aplikasinya lemot banget🔥🔥
__label__3,Ongkirnya lumayan mahal
__label__3,"Banya ngeblank apk'nya padahal sebelum""nya engga"
__label__3,Gak Kayak Dulu Lagi Ongkir Nya Skrng Lumayan Mahal
__label__3,Oke sih tapi ongkirnya mahal
__label__3,Update.  .  .  .   Update.  .  .   Update.  .  .  
__label__3,"Lumayan, , bnyak diskon"
__label__3,membantu utk berbisnis
__label__3,"Lumayan membantu, , , "
__label__3,Parah sekarang ngadat mulu eror mulu
__label__3,Knp vocher gk bisa di gunakan
__label__3,"Tolong pihak shopee,  kenapa ya untuk upgrade ke shopee pay plus harus ktp yang berbeda,  saya ingin transfer ke bank gabisa,  dan mau tidak mau akun shoppee sebelumnya harus saya hapus agar ktp saya bisa digunakan untuk verifikasi shopee pay plus,  akun shopee sebelumnya juga penting,  ini merugikan sekali karena tidak bisa transfer ke bank.  "
__label__3,Mf sblm nya knpa ko shopee kok playanan nya skrg lambat ya
__label__3,Tidak bisa.   Diinstal
__label__3,Ku kasih dulu 3 soalanya susah banget aktivkan spaylater nya
__label__3,Lemot banget ya setelah updet
__label__3,Knp y kl chekout selalu ada error
__label__3,Sangat membantu sekali
__label__3,Lumayan bisa bantuin
__label__3,Sistim COD yang baik
__label__3,Produk nya baik baik
__label__3,Gak bisa dapat kode otp
__label__5,"Terima kasih shopee. sangat membantu. tetapi untuk barang"" yg di beli mohon jgn yg kawe ya. agar ttap menjaga kwalitas barang biar pembeli tdk  . ttap jaga kwalitas. trima kasih"
__label__5,Aplikasinya bagus banget alhamdulilah setiap belanja di shopee blom pernah gagal sekalipun semua yg di pesen sesuai dengan gambar
__label__5,Bagus tapi tolong ya diskonya yang sering dong jangan cuman kalo ada perayaan apa gitu di shoppe misal 12. 12 ada diskon tapi tengah malem jangan cuman casback doang yang banyak diskonya yang tempat bagian voucher yang pas mau chekout di taruhin diskon jangan pengguna baru aja tolong ya per banyak voucher diskon biar para shopers semangat
__label__5,Saya sangat senang berbelanja d shopee karena pelayanannya sangat baik dan produk yg dijual berkualitas dan terjangkau
__label__5,Sering sering kasi gratis ongkir ya shopee
__label__5,"Mantap,  gak tipu tipu, tolong naikin shopepaylater nya donk ,  masa sering blnja gak naik naik"
__label__5,Spaylatter ku belum kunjung juga dah lama banget min
__label__5,Sukses terus shopee.  Semoga kedepan lebih baik lg Lebih baik lagi yaa terima kasih shopee.  Tambah sukses
__label__5,Blanja di shopee menyenangkan.  Banyak barang terjangkau oleh kalangan menengah ke bawah.  So sukses slalu
__label__5,Berharaf limit spaylatter dan limit spinjam nya naik. krn banyak sekali yg pengen aku beli di shoppe tp ga ada dana nya hehehe
